[1228, 1908, 128, 1769, 1804, 1411, 549, 313, 1147, 1664]
[642, 1361, 272, 1993, 1204, 164, 1044, 1081, 1002, 363]
[1676, 254, 1079, 248, 1705, 925, 410, 1679, 922, 1665]
[1642, 1149, 761, 874, 1136, 743, 1844, 1569, 1858, 693]
[1781, 1201, 2013, 1627, 452, 1189, 1940, 14, 1984, 214]
[298, 430, 2027, 407, 1138, 429, 593, 1601, 93, 1509]
[559, 1611, 89, 773, 900, 1421, 1556, 90, 2023, 640]
[903, 983, 686, 597, 710, 601, 738, 1692, 1922, 1549]
[1360, 320, 155, 1751, 297, 265, 333, 1538, 1366, 158]
[1376, 505, 329, 1518, 1344, 15, 1799, 698, 1066, 252]
[2, 1311, 1478, 1770, 209, 939, 1605, 789, 200, 965]
[308, 504, 951, 1713, 503, 1707, 237, 1902, 62, 380]
[547, 1304, 334, 1410, 238, 548, 27, 37, 411, 1510]
[765, 1493, 1337, 153, 703, 1619, 365, 1450, 1834, 1923]
[1355, 1382, 50, 1631, 474, 1094, 288, 250, 626, 837]
[1780, 746, 1209, 246, 1671, 131, 1648, 1095, 1293, 1997]
[1310, 1935, 1823, 1236, 1609, 1362, 981, 2048, 1819, 634]
[1939, 525, 393, 1386, 1006, 1603, 1846, 408, 977, 913]
[1208, 1885, 1316, 1925, 1427, 139, 1753, 255, 332, 239]
[602, 648, 1270, 1668, 1067, 159, 1031, 91, 1500, 672]
[1599, 1256, 412, 728, 1349, 35, 1806, 1954, 507, 768]
[1681, 25, 1222, 317, 46, 24, 589, 2037, 787, 1889]
[428, 1998, 521, 660, 801, 1212, 1472, 1715, 1860, 45]
[95, 827, 1032, 565, 716, 469, 866, 880, 1440, 1089]
[1756, 1874, 842, 1405, 616, 1166, 149, 1604, 1313, 622]
[1283, 92, 1637, 1062, 1423, 953, 1622, 638, 264, 1090]
[1744, 769, 1914, 331, 328, 397, 1730, 1568, 1233, 2024]
[110, 931, 1425, 1909, 1249, 9, 1766, 1375, 1007, 1784]
[1725, 1657, 1629, 228, 2029, 737, 437, 954, 1896, 1108]
[1023, 899, 772, 1948, 442, 1895, 632, 326, 942, 1936]
[385, 659, 994, 1107, 1374, 1230, 1731, 635, 1247, 396]
[1384, 1123, 594, 576, 892, 1978, 1886, 691, 1377, 1966]
[905, 1325, 467, 196, 1183, 1691, 584, 1736, 580, 788]
[162, 654, 865, 482, 625, 310, 116, 1602, 786, 1628]
[1303, 1225, 1871, 7, 1457, 271, 578, 1526, 230, 1064]
[1074, 1442, 1649, 1364, 1468, 618, 479, 1845, 1238, 1863]
[707, 481, 1047, 231, 873, 425, 274, 420, 1434, 1264]
[1787, 1825, 1561, 1881, 1992, 211, 1290, 1652, 207, 132]
[1479, 1551, 1832, 251, 711, 883, 141, 1345, 325, 157]
[444, 908, 1714, 17, 1261, 1473, 47, 748, 891, 1972]
[662, 878, 1506, 777, 1475, 1299, 327, 2040, 187, 80]
[1879, 1467, 1114, 1767, 1809, 447, 1836, 2020, 446, 1782]
[741, 337, 4, 1820, 1762, 1589, 637, 1159, 1694, 1480]
[1798, 1893, 1651, 1596, 870, 145, 680, 813, 893, 1924]
[1771, 649, 102, 13, 1678, 466, 161, 1708, 745, 305]
[389, 721, 1371, 1485, 896, 810, 834, 1034, 268, 849]
[1296, 281, 803, 2010, 1630, 1406, 1873, 1022, 736, 1000]
[823, 1174, 2038, 1800, 1975, 540, 395, 1011, 763, 1796]
[805, 371, 1223, 608, 929, 382, 189, 426, 526, 513]
[1593, 829, 321, 1030, 1775, 1760, 1224, 1339, 1683, 372]
[1206, 1065, 934, 1553, 1091, 1522, 605, 928, 300, 1271]
[794, 1052, 244, 1380, 1888, 1342, 1581, 1600, 606, 530]
[1340, 197, 405, 2009, 226, 519, 1061, 1960, 1803, 311]
[778, 103, 1565, 802, 441, 1243, 1448, 2041, 171, 561]
[1614, 835, 169, 961, 793, 1116, 1548, 1562, 1187, 1774]
[522, 301, 1277, 610, 53, 101, 390, 754, 1284, 1280]
[657, 850, 877, 1961, 944, 936, 750, 868, 676, 921]
[1912, 167, 1944, 1837, 1670, 767, 421, 33, 377, 498]
[1004, 56, 782, 587, 1308, 1533, 567, 538, 289, 926]
[1598, 1737, 724, 381, 695, 1106, 1, 1336, 1672, 783]
[701, 740, 1957, 1098, 1528, 860, 42, 1232, 1357, 1882]
[725, 812, 839, 1625, 229, 1324, 1163, 542, 1436, 2044]
[647, 1315, 19, 1143, 179, 373, 1060, 933, 613, 572]
[1173, 458, 356, 493, 1218, 818, 2000, 400, 1482, 2001]
[173, 111, 757, 126, 1933, 1488, 74, 1219, 1154, 1252]
[283, 959, 552, 114, 1424, 345, 949, 1594, 713, 681]
[60, 603, 1314, 1111, 871, 1728, 2026, 261, 722, 1904]
[1639, 1689, 247, 1297, 1056, 600, 592, 106, 590, 424]
[784, 435, 343, 524, 1584, 848, 1246, 1025, 924, 1194]
[1899, 1964, 809, 314, 718, 494, 1245, 1332, 122, 1752]
[1050, 1567, 292, 1207, 566, 1263, 127, 906, 1927, 1699]
[491, 277, 156, 1574, 639, 422, 40, 1426, 1216, 785]
[1969, 448, 735, 1170, 532, 859, 579, 555, 181, 843]
[364, 1585, 1469, 1952, 117, 1719, 1849, 1758, 138, 151]
[1049, 59, 112, 1810, 1507, 253, 1399, 1669, 2033, 21]
[295, 463, 213, 43, 1087, 232, 1474, 546, 1451, 1294]
[758, 800, 1995, 644, 932, 1055, 502, 1563, 263, 1989]
[119, 882, 496, 621, 223, 527, 358, 1012, 1333, 762]
[1268, 18, 1286, 1985, 909, 182, 1378, 1749, 1576, 206]
[354, 1439, 1026, 1554, 655, 1438, 569, 370, 1490, 1650]
[914, 1105, 176, 1292, 1073, 1139, 739, 756, 1586, 168]
[1817, 715, 1512, 1407, 962, 1841, 1409, 1257, 346, 1070]
[1811, 1983, 1505, 1612, 652, 1869, 1930, 875, 1722, 142]
[1100, 958, 1547, 742, 1720, 1843, 1716, 727, 1102, 1711]
[685, 1743, 1790, 1369, 146, 2043, 1877, 1696, 96, 1813]
[1321, 144, 751, 1865, 663, 1580, 386, 1317, 1502, 723]
[853, 5, 1623, 1435, 1489, 573, 1516, 677, 1797, 2008]
[585, 240, 978, 1099, 987, 1327, 198, 1029, 760, 484]
[1857, 1732, 1354, 1723, 267, 399, 1868, 431, 1695, 1397]
[1680, 1588, 282, 1306, 73, 682, 884, 1801, 123, 284]
[1880, 451, 1476, 1156, 39, 1905, 1918, 61, 1529, 2005]
[1943, 136, 510, 1453, 1341, 817, 996, 667, 1919, 692]
[1470, 1607, 955, 175, 575, 108, 583, 774, 1840, 1633]
[541, 514, 1059, 1947, 1251, 845, 1134, 1613, 1973, 70]
[1932, 1365, 1153, 219, 1870, 449, 847, 1941, 973, 193]
[1951, 1312, 195, 1991, 352, 258, 551, 1615, 536, 1847]
[2031, 1287, 2035, 1335, 374, 1626, 840, 684, 2036, 1777]
[1761, 445, 690, 1444, 920, 1833, 1008, 1391, 1144, 890]
[94, 1122, 2025, 733, 1894, 1394, 1017, 1487, 582, 1646]
[1818, 1300, 598, 669, 488, 215, 1319, 1831, 32, 1175]
[1937, 500, 1135, 1046, 2012, 1508, 318, 671, 1318, 279]
[1180, 67, 1897, 183, 107, 670, 1182, 335, 1109, 1515]
[319, 1739, 1214, 811, 497, 299, 1402, 1942, 353, 427]
[1718, 1486, 1910, 457, 825, 487, 1351, 1638, 1285, 620]
[79, 619, 34, 1242, 1822, 712, 1595, 1824, 1343, 68]
[1301, 747, 1101, 349, 77, 1162, 1913, 242, 1045, 999]
[315, 1690, 1582, 184, 1192, 1988, 759, 1597, 851, 199]
[1654, 98, 1852, 234, 1028, 1414, 1814, 806, 935, 2034]
[296, 971, 1970, 2039, 1996, 819, 1835, 1148, 558, 726]
[2030, 915, 414, 97, 807, 943, 916, 814, 1742, 560]
[609, 653, 170, 475, 1276, 1536, 1864, 30, 1539, 1013]
[1979, 550, 52, 1949, 489, 2007, 1763, 1550, 796, 140]
[180, 109, 1667, 1075, 886, 440, 986, 956, 1288, 808]
[465, 1217, 1778, 764, 1878, 1295, 490, 1931, 923, 1559]
[1523, 432, 99, 1275, 2021, 163, 1963, 545, 473, 404]
[1127, 588, 1093, 804, 795, 1132, 1658, 1916, 968, 822]
[673, 1677, 966, 355, 359, 617, 1221, 1121, 137, 1663]
[124, 520, 838, 1829, 1898, 3, 1053, 1234, 1120, 1083]
[376, 1370, 166, 1395, 562, 1035, 316, 1266, 1331, 130]
[1352, 1088, 1660, 1157, 1491, 1161, 952, 1429, 1179, 1185]
[1200, 1167, 309, 683, 212, 1560, 1571, 1305, 1982, 341]
[243, 1001, 1724, 911, 16, 1265, 734, 235, 1496, 991]
[1738, 706, 1226, 2042, 506, 1259, 832, 1125, 1848, 1158]
[534, 781, 1080, 1014, 1543, 86, 815, 630, 1403, 1875]
[844, 1269, 69, 1946, 1712, 664, 133, 1460, 1195, 821]
[1499, 1260, 1129, 836, 645, 1682, 66, 486, 205, 1464]
[1372, 1812, 186, 872, 8, 1853, 1447, 477, 709, 1704]
[1054, 1379, 1617, 1145, 1181, 1383, 1367, 919, 1740, 1759]
[539, 1976, 1191, 1793, 78, 1058, 867, 1039, 623, 1610]
[1977, 1085, 1968, 227, 1040, 1530, 1917, 982, 518, 1698]
[1097, 879, 460, 535, 1359, 360, 54, 436, 2046, 776]
[937, 1701, 1854, 1636, 49, 1755, 1484, 1347, 125, 1103]
[1726, 1492, 2022, 224, 533, 523, 1387, 531, 1431, 1773]
[1776, 1876, 1016, 1130, 990, 454, 1540, 1640, 1458, 152]
[1177, 1400, 1764, 1573, 290, 1128, 291, 1709, 889, 696]
[976, 1956, 1051, 1165, 1754, 2014, 1906, 1950, 967, 831]
[100, 413, 1459, 1202, 797, 1150, 1891, 799, 1140, 946]
[1685, 88, 1118, 1656, 1688, 2017, 87, 1169, 719, 1842]
[1160, 894, 1348, 1481, 918, 1495, 627, 44, 1591, 217]
[48, 1826, 1278, 1653, 1747, 1867, 571, 1036, 58, 881]
[233, 11, 1350, 1326, 1433, 1404, 941, 895, 1452, 1043]
[930, 143, 595, 1859, 1727, 470, 348, 471, 1827, 71]
[1176, 1851, 1096, 1443, 1211, 208, 1401, 1757, 216, 1702]
[259, 1911, 820, 202, 704, 340, 1700, 218, 483, 306]
[856, 278, 1987, 1577, 1381, 997, 1038, 1647, 1203, 1618]
[1839, 1794, 1789, 714, 897, 115, 1213, 1717, 1334, 1072]
[1126, 1765, 2016, 22, 816, 29, 1965, 753, 1645, 1532]
[770, 1186, 362, 666, 1198, 286, 1710, 416, 1363, 1353]
[992, 36, 972, 1955, 480, 10, 1164, 402, 792, 730]
[1907, 1368, 1262, 1729, 798, 755, 433, 147, 1525, 1239]
[1934, 154, 324, 948, 960, 678, 1415, 1408, 2028, 1592]
[203, 2011, 1862, 857, 1390, 84, 940, 443, 1802, 586]
[65, 864, 1188, 607, 1521, 1253, 1084, 1901, 160, 1511]
[12, 612, 717, 1535, 1298, 20, 995, 658, 516, 330]
[1254, 668, 1994, 1674, 293, 1077, 347, 957, 1330, 752]
[495, 1428, 129, 1437, 1141, 869, 907, 1514, 1282, 1068]
[1621, 366, 1815, 998, 1531, 1555, 1445, 499, 303, 697]
[1392, 1171, 1461, 75, 1441, 38, 113, 732, 1422, 636]
[1456, 1632, 614, 1579, 1641, 269, 729, 1830, 828, 1575]
[1971, 1117, 1227, 1210, 1003, 947, 1887, 1078, 1494, 1734]
[1552, 744, 1655, 508, 135, 194, 302, 511, 464, 1178]
[285, 1267, 462, 190, 631, 415, 543, 988, 177, 1155]
[830, 351, 633, 1356, 1196, 342, 1872, 172, 1398, 1938]
[1958, 980, 31, 134, 1279, 917, 485, 1788, 1706, 1385]
[1172, 148, 1009, 1112, 294, 1520, 2019, 1115, 1449, 700]
[708, 1015, 1578, 1745, 1027, 826, 384, 1850, 1527, 417]
[76, 28, 1733, 1564, 188, 1557, 1828, 1929, 1513, 1558]
[1432, 1684, 2047, 201, 1291, 945, 2045, 641, 1721, 861]
[1273, 1307, 1137, 270, 898, 1235, 515, 468, 643, 104]
[339, 1258, 1816, 780, 401, 1104, 689, 221, 357, 604]
[1900, 434, 1413, 1328, 1866, 1389, 766, 1786, 1541, 1465]
[1517, 1807, 192, 2004, 260, 64, 1021, 1785, 26, 1477]
[312, 902, 1240, 1686, 57, 276, 574, 1608]
